train_returns_Average,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,learning_rate,value_loss,policy_loss,entropy,old_approx_kl,approx_kl,clipfrac,explained_variance,SPS,TimeSinceStart,VectorizedStep,GlobalStep,SingleStep
14.8294325,22.482117,5.985017,-55.29059,234.8482,9.056451612903226,6.937332240227151,9.0,1,36,0.0003,200.04136657714844,-0.02149062417447567,8.484383583068848,0.016328033059835434,0.012126684188842773,0.113763427734375,-0.0008503198623657227,121,134.7585632801056,16384,16384,2048
16.836763,25.514935,6.412464,-25.235926,266.819,9.286216321749317,7.343238819437665,10.0,1,37,0.0002995081967213115,206.73712158203125,-0.018557338044047356,8.432403564453125,0.0010656621307134628,0.013047052547335625,0.13780517578125,-0.0001087188720703125,123,264.7518765926361,32768,32768,4096
19.661173,28.786097,7.4387655,-19.575489,235.2282,9.872073578595318,7.683454580824273,10.0,1,36,0.0002990163934426229,297.33526611328125,-0.033041857182979584,8.372986793518066,0.012350218370556831,0.011548228561878204,0.1412109375,0.0011085271835327148,126,389.4300653934479,49152,49152,6144
22.51948,33.906517,8.028404,-27.50726,456.20126,10.155734047300312,8.1593524828587,11.0,1,47,0.00029852459016393437,334.105712890625,-0.029700644314289093,8.316089630126953,0.011710356920957565,0.012505819089710712,0.129833984375,0.0013632774353027344,128,509.50818490982056,65536,65536,8192
23.8378,32.97998,10.022478,-97.1998,360.9715,10.565666041275797,8.221653979728943,11.0,1,43,0.00029803278688524587,265.4629211425781,-0.029410282149910927,8.275089263916016,0.021524427458643913,0.011584537103772163,0.127020263671875,0.0030716657638549805,130,626.9677166938782,81920,81920,10240
25.723583,35.453484,9.755345,-19.57698,350.34454,10.814453125,8.478588962479414,11.0,1,42,0.00029754098360655737,264.1136779785156,-0.008396778255701065,8.177252769470215,0.026888227090239525,0.01117387693375349,0.128729248046875,0.003618597984313965,132,741.6954143047333,98304,98304,12288
27.537424,33.634624,12.019058,-5.071008,289.5343,11.315467075038285,8.46760759787924,12.0,1,39,0.0002970491803278688,317.9834289550781,-0.034386761486530304,8.107803344726562,-0.0011975616216659546,0.008775297552347183,0.1217041015625,0.002545177936553955,134,852.8823537826538,114688,114688,14336
28.205559,36.72678,11.436804,-38.476234,366.93985,11.092853416797078,8.731115610730072,12.0,1,43,0.0002965573770491803,387.367431640625,-0.019691303372383118,8.045001983642578,0.00714636966586113,0.010087746195495129,0.120379638671875,0.0048097968101501465,136,962.2902574539185,131072,131072,16384
31.331766,35.66948,16.111748,-9.861647,304.52814,11.998911268372346,8.776235970678451,13.0,1,40,0.0002960655737704918,390.91839599609375,-0.01829328015446663,8.001791954040527,0.014476198703050613,0.008674975484609604,0.1162109375,0.0030867457389831543,137,1070.26167178154,147456,147456,18432
30.235224,35.89745,14.929619,-5.0851126,290.16956,11.542934782608695,8.884910515323826,13.0,1,39,0.00029557377049180326,358.8121643066406,-0.02917983941733837,7.934669017791748,0.002374960109591484,0.012886797077953815,0.119598388671875,0.003080308437347412,138,1179.0994853973389,163840,163840,20480
32.81154,39.081142,16.163307,-82.13937,286.3607,11.875210792580102,9.209396452639874,14.0,1,42,0.0002950819672131147,367.4935607910156,-0.03161897510290146,7.859439373016357,0.026153547689318657,0.013261079788208008,0.1134521484375,0.0031796693801879883,140,1285.0996568202972,180224,180224,22528
34.39302,39.951187,19.047283,-16.129818,304.95807,12.225014277555683,9.238367108278567,14.0,1,40,0.0002945901639344262,404.39111328125,-0.016642753034830093,7.782519817352295,-0.0032416731119155884,0.00819005724042654,0.106390380859375,0.0020157694816589355,141,1389.3020272254944,196608,196608,24576
