train_returns_Average,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,learning_rate,value_loss,policy_loss,entropy,old_approx_kl,approx_kl,clipfrac,explained_variance,SPS,TimeSinceStart,VectorizedStep,GlobalStep,SingleStep
-0.46940008,151.19669,0.8315983,-7582.447,87.09236,9.355132778438367,7.355418434933559,10.0,1,40,0.0003,25.207012176513672,-0.02128845825791359,8.474257469177246,0.009418878704309464,0.009181024506688118,0.082415771484375,-5.9604644775390625e-06,145,112.42431378364563,16384,16384,2048
2.541264,25.730856,0.9783332,-1182.1478,96.0672,9.694249069093917,7.607539595259863,10.0,1,38,0.0002995081967213115,30.66075325012207,-0.014799254015088081,8.457182884216309,0.0023668501526117325,0.006405570078641176,0.09290771484375,0.0031539201736450195,151,216.76665449142456,32768,32768,4096
3.459797,9.090766,1.1559789,-114.9784,83.85548,9.690610125486803,7.793688329394163,10.0,1,36,0.0002990163934426229,18.137998580932617,-0.023555036634206772,8.41782283782959,0.002890579402446747,0.0077346134930849075,0.114697265625,0.01098567247390747,153,321.2240080833435,49152,49152,6144
3.701814,9.034772,1.1447678,-42.414433,101.389854,10.026210573078632,7.843410100040556,11.0,1,39,0.00029852459016393437,25.50889015197754,-0.018627870827913284,8.375530242919922,-0.0012929905205965042,0.00962008722126484,0.12164306640625,0.014145731925964355,149,437.2576286792755,65536,65536,8192
4.4380755,13.66169,1.7937467,-382.36893,110.44539,10.444976076555024,8.329464972128505,11.0,1,47,0.00029803278688524587,30.87893295288086,-0.029530508443713188,8.335411071777344,-0.0036810263991355896,0.009332176297903061,0.103314208984375,0.016331076622009277,141,576.9982810020447,81920,81920,10240
5.411919,10.598511,1.9121071,-10.072293,99.20619,10.83080684596577,8.513801801157388,12.0,1,41,0.00029754098360655737,24.947479248046875,-0.027769695967435837,8.265865325927734,0.005744699388742447,0.010075983591377735,0.125054931640625,0.013790667057037354,132,743.0505270957947,98304,98304,12288
5.8379216,14.491103,2.0404048,-69.46325,418.1255,11.116053169734151,8.641361986328778,12.0,1,73,0.0002970491803278688,24.166179656982422,-0.021049095317721367,8.189765930175781,0.0172735583037138,0.009293222799897194,0.115069580078125,0.013321638107299805,135,847.6278493404388,114688,114688,14336
6.283866,11.56058,2.2147927,-10.335127,120.048515,11.178202479338843,8.851259428077698,12.0,1,45,0.0002965573770491803,28.96135902404785,-0.02726839855313301,8.133076667785645,0.011601366102695465,0.009596758522093296,0.114630126953125,0.014942049980163574,138,943.502002954483,131072,131072,16384
6.6600695,11.557519,2.3083122,-68.58159,89.25406,11.479630635524172,9.028998070909822,13.0,1,44,0.0002960655737704918,34.02655029296875,-0.018271461129188538,8.093551635742188,-0.0019130352884531021,0.009567313827574253,0.1143310546875,0.028316378593444824,142,1033.5405027866364,147456,147456,18432
6.566623,23.328156,2.4550676,-563.0908,688.50433,11.53946652150245,9.017505164333492,13.0,1,91,0.00029557377049180326,72.1943130493164,-0.02194894850254059,8.03566837310791,0.027699748054146767,0.01031968928873539,0.09888916015625,0.026168465614318848,138,1186.9711344242096,163840,163840,20480
